Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,NLR data?,outlier?,US market model?
blade,2.5,96.1,70,11800,,aerodyn aM 2.5/96,https://en.wind-turbine-models.com/turbines/1111-aerodyn-am-2-5-96,,aerodyn,No,No,Yes
blade,0.75,47,50,2400,,Aeronautica 47-750,https://en.wind-turbine-models.com/turbines/499-aeronautica-47-750,,Aeronautica,No,No,Yes
blade,0.75,54,50,2400,,Aeronautica 54-750,https://en.wind-turbine-models.com/turbines/500-aeronautica-54-750,,Aeronautica,No,No,Yes
blade,0.1,23,42.6,300,,Autoflug A 100,https://en.wind-turbine-models.com/turbines/375-autoflug-a-100,,Autoflug,No,No,Yes
blade,2,93,70,8800,,CSIC H93-2.0,https://en.wind-turbine-models.com/turbines/2073-csic-h93-2-0,,CSIC,No,No,Yes
blade,2,111,70,11600,,CSIC H111-2.0,https://en.wind-turbine-models.com/turbines/2075-csic-h111-2-0,,CSIC,No,No,Yes
blade,1.5,77,65,5500,,Dongfang FD77-1500 geared,https://en.wind-turbine-models.com/turbines/2221-dongfang-fd77-1500-geared,,Dongfang,No,No,Yes
blade,0.5,40.3,42,900,,Enercon E-40/5.40,https://en.wind-turbine-models.com/turbines/67-enercon-e-40-5-40,,Enercon,No,No,Yes
blade,0.25,29.5,42,800,,FuhrlÃ¤nder FL 250,https://en.wind-turbine-models.com/turbines/280-fuhrlaender-fl-250,,FuhrlÃ¤nder,No,No,Yes
blade,0.6,44,40.5,1500,,Gamesa G44,https://en.wind-turbine-models.com/turbines/771-gamesa-g44,,Gamesa,No,No,Yes
blade,0.66,47,40,1300,,Gamesa G47,https://en.wind-turbine-models.com/turbines/772-gamesa-g47,,Gamesa,No,No,Yes
blade,2,80,60,6500,,Gamesa G80,https://en.wind-turbine-models.com/turbines/34-gamesa-g80,,Gamesa,No,No,Yes
blade,2,83,67,7300,,Gamesa G83,https://en.wind-turbine-models.com/turbines/773-gamesa-g83,,Gamesa,No,No,Yes
blade,2,87,67,6200,,Gamesa G87,https://en.wind-turbine-models.com/turbines/548-gamesa-g87,,Gamesa,No,No,Yes
blade,2,90,67,5800,,Gamesa G90,https://en.wind-turbine-models.com/turbines/763-gamesa-g90,,Gamesa,No,No,Yes
blade,1,57,60,4000,,GC China GC57,https://en.wind-turbine-models.com/turbines/2034-gc-china-gc57,,GC China,No,No,Yes
blade,0.225,29.8,30,800,,Micon M 700-225,https://en.wind-turbine-models.com/turbines/377-micon-m-700-225,,Micon,No,No,Yes
blade,0.6,37,45,1800,,Micon M 1100-600,https://en.wind-turbine-models.com/turbines/1302-micon-m-1100-600,,Micon,No,No,Yes
blade,3,112,85,14000,,MingYang MySE3.0-112,https://en.wind-turbine-models.com/turbines/1914-mingyang-myse3-0-112,,MingYang,No,No,Yes
blade,0.5,40.8,39,2700,,NedWind NW 40/500,https://en.wind-turbine-models.com/turbines/1090-nedwind-nw-40-500,,NedWind,No,No,Yes
blade,1.65,72,70,5800,,NEG Micon NM 72/1650,https://en.wind-turbine-models.com/turbines/1300-neg-micon-nm-72-1650,,NEG Micon,No,No,Yes
blade,0.6,43,40,2000,,Nordex N43,https://en.wind-turbine-models.com/turbines/390-nordex-n43,,Nordex,No,No,Yes
blade,0.8,52,60,3700,,Nordex N52,https://en.wind-turbine-models.com/turbines/387-nordex-n52,,Nordex,No,No,Yes
blade,1,54,60,4700,,Nordex N54,https://en.wind-turbine-models.com/turbines/397-nordex-n54,,Nordex,No,No,Yes
blade,2.3,90,80,9600,,Nordex N90 Beta,https://en.wind-turbine-models.com/turbines/21-nordex-n90-beta,,Nordex,No,No,Yes
blade,4.5,149.1,105,21500,,Nordex N149/4.0-4.5,https://en.wind-turbine-models.com/turbines/1705-nordex-n149-4-0-4-5,,Nordex,No,No,Yes
blade,0.5,41,42.1,1900,,Nordtank NTK 500/41,https://en.wind-turbine-models.com/turbines/384-nordtank-ntk-500-41,,Nordtank,No,No,Yes
blade,0.05,15,30,100,,Seaforth Energy AOC15/50,https://en.wind-turbine-models.com/turbines/513-seaforth-energy-aoc15-50,,Seaforth Energy,No,No,Yes
blade,2.05,92.5,68.5,8000,,Senvion MM92,https://en.wind-turbine-models.com/turbines/889-senvion-mm92,,Senvion,No,No,Yes
blade,3,101,80,10300,,Siemens SWT-3.0-101,https://en.wind-turbine-models.com/turbines/66-siemens-swt-3-0-101,,Siemens,No,No,Yes
blade,0.225,27,30,600,,Vestas V27,https://en.wind-turbine-models.com/turbines/274-vestas-v27,,Vestas,No,No,Yes
blade,0.5,39,40.5,1100,,Vestas V39,https://en.wind-turbine-models.com/turbines/383-vestas-v39,,Vestas,No,No,Yes
blade,0.6,42,40.5,1200,,Vestas V42,https://en.wind-turbine-models.com/turbines/109-vestas-v42,,Vestas,No,No,Yes
blade,0.6,44,40.5,1500,,Vestas V44,https://en.wind-turbine-models.com/turbines/272-vestas-v44,,Vestas,No,No,Yes
blade,2,66,60,3800,,Vestas V66-2.0,https://en.wind-turbine-models.com/turbines/1277-vestas-v66-2-0,,Vestas,No,No,Yes
blade,1.8,80,60,6500,,Vestas V80-1.8,https://en.wind-turbine-models.com/turbines/1350-vestas-v80-1-8,,Vestas,No,No,Yes
blade,0.1,17.9,18,100,,WES 18/100,https://en.wind-turbine-models.com/turbines/924-wes-18-100,,WES,No,No,Yes
blade,0.066,15.5,18,1200,,Windmatic WM 15s-66,https://en.wind-turbine-models.com/turbines/593-windmatic-wm-15s-66,,Windmatic,No,No,Yes
blade,0.075,17,18,300,,Windmatic WM 17-75,https://en.wind-turbine-models.com/turbines/683-windmatic-wm-17-75,,Windmatic,No,No,Yes
blade,0.25,29.2,31,800,,Wind World W3000/250,https://en.wind-turbine-models.com/turbines/379-wind-world-w3000-250,,Wind World,No,No,Yes
blade,5.5,158,y,20000,,GE 5.X-158,GE 5.X-158 technical documentation,,,No,No,Yes
blade,5.6,162,y,28100,,V162-5.6,traffic impact assessment,,,No,No,Yes
gearbox,3.2,103,,24000,,GE 3.2-103,GE 3.X technical documentation,,,No,No,Yes
gearbox,5.5,158,,39900,,GE 5.X-158,GE 5.X-158 technical documentation,,,No,No,Yes
generator,3.2,103,,11000,,GE 3.2-103,GE 3.X technical documentation,,,No,No,Yes
generator,5.5,158,,12800,,GE 5.X-158,GE 5.X-158 technical documentation,,,No,No,Yes
hub,5.5,158,,47400,,GE 5.X-158,GE 5.X-158 technical documentation,,,No,No,Yes
hub,5.6,162,,64000,,V162-5.6,traffic impact assessment,,,No,No,Yes
hub,2.5,120,,27500,,GE 2.5-120,GE 3.X technical documentation,,,No,No,Yes
hub,3.2,103,,30500,,GE 3.2-103,GE 3.X technical documentation,,,No,No,Yes
nacelle,1.5,70,60,52200,,Acciona AW-70/1500,https://en.wind-turbine-models.com/turbines/777-acciona-aw-70-1500,,Acciona,No,No,Yes
nacelle,1.5,77,60,52300,,Acciona AW-77/1500,https://en.wind-turbine-models.com/turbines/778-acciona-aw-77-1500,,Acciona,No,No,Yes
nacelle,1.5,82,80,52300,,Acciona AW-82/1500,https://en.wind-turbine-models.com/turbines/585-acciona-aw-82-1500,,Acciona,No,No,Yes
nacelle,3,100,100,118000,,Acciona AW-100/3000,https://en.wind-turbine-models.com/turbines/142-acciona-aw-100-3000,,Acciona,No,No,Yes
nacelle,3,109,100,118000,,Acciona AW-109/3000,https://en.wind-turbine-models.com/turbines/783-acciona-aw-109-3000,,Acciona,No,No,Yes
nacelle,3,116,100,118000,,Acciona AW-116/3000,https://en.wind-turbine-models.com/turbines/784-acciona-aw-116-3000,,Acciona,No,No,Yes
nacelle,3,125,120,111600,,Acciona AW-125/3000,https://en.wind-turbine-models.com/turbines/785-acciona-aw-125-3000,,Acciona,No,No,Yes
nacelle,3,132,84,111000,,Acciona AW-132/3000,https://en.wind-turbine-models.com/turbines/980-acciona-aw-132-3000,,Acciona,No,No,Yes
nacelle,3,140,82,108000,,Acciona AW-140/3000,https://en.wind-turbine-models.com/turbines/1740-acciona-aw-140-3000,,Acciona,No,No,Yes
nacelle,2.5,96.1,70,93200,,aerodyn aM 2.5/96,https://en.wind-turbine-models.com/turbines/1111-aerodyn-am-2-5-96,,aerodyn,No,No,Yes
nacelle,0.75,47,50,22000,,Aeronautica 47-750,https://en.wind-turbine-models.com/turbines/499-aeronautica-47-750,,Aeronautica,No,No,Yes
nacelle,0.75,54,50,22000,,Aeronautica 54-750,https://en.wind-turbine-models.com/turbines/500-aeronautica-54-750,,Aeronautica,No,No,Yes
nacelle,0.1,23,42.6,3800,,Autoflug A 100,https://en.wind-turbine-models.com/turbines/375-autoflug-a-100,,Autoflug,No,No,Yes
nacelle,0.05,16,22,6500,,awinco L50-200,https://en.wind-turbine-models.com/turbines/1186-awinco-l50-200,,awinco,No,No,Yes
nacelle,1.3,62,68,50000,,Bonus B62/1300,https://en.wind-turbine-models.com/turbines/1348-bonus-b62-1300,,Bonus,No,No,Yes
nacelle,1.5,93,80,65000,,CRRC CWT1500-D93,https://en.wind-turbine-models.com/turbines/2694-crrc-cwt1500-d93,,CRRC,No,No,Yes
nacelle,2,93,70,87000,,CSIC H93-2.0,https://en.wind-turbine-models.com/turbines/2073-csic-h93-2-0,,CSIC,No,No,Yes
nacelle,2,111,70,87000,,CSIC H111-2.0,https://en.wind-turbine-models.com/turbines/2075-csic-h111-2-0,,CSIC,No,No,Yes
nacelle,0.16,23,22.5,7500,,Danwin Danwin 23/160,https://en.wind-turbine-models.com/turbines/599-danwin-danwin-23-160,,Danwin,No,No,Yes
nacelle,2,80,100,73000,,DeWind D8.2 WinDriveÂ®,https://en.wind-turbine-models.com/turbines/85-dewind-d8-2-windrive,,DeWind,No,No,Yes
nacelle,1.5,77,65,55000,,Dongfang FD77-1500 geared,https://en.wind-turbine-models.com/turbines/2221-dongfang-fd77-1500-geared,,Dongfang,No,No,Yes
nacelle,0.5,40.3,42,26500,,Enercon E-40/5.40,https://en.wind-turbine-models.com/turbines/67-enercon-e-40-5-40,,Enercon,No,No,Yes
nacelle,1.5,70.5,65,49000,,Enron 1.5 s,https://en.wind-turbine-models.com/turbines/371-enron-1-5-s,,Enron,No,No,Yes
nacelle,0.25,29.5,42,9500,,FuhrlÃ¤nder FL 250,https://en.wind-turbine-models.com/turbines/280-fuhrlaender-fl-250,,FuhrlÃ¤nder,No,No,Yes
nacelle,1,54,70,40500,,FuhrlÃ¤nder FL 1000,https://en.wind-turbine-models.com/turbines/70-fuhrlaender-fl-1000,,FuhrlÃ¤nder,No,No,Yes
nacelle,2.5,100,85,96000,,FuhrlÃ¤nder FL 2500/100,https://en.wind-turbine-models.com/turbines/347-fuhrlaender-fl-2500-100,,FuhrlÃ¤nder,No,No,Yes
nacelle,2.5,90,85,96000,,FuhrlÃ¤nder LLC WTU2.5-90,https://en.wind-turbine-models.com/turbines/1497-fuhrlaender-llc-wtu2-5-90,,FuhrlÃ¤nder LLC,No,No,Yes
nacelle,0.6,44,40.5,19800,,Gamesa G44,https://en.wind-turbine-models.com/turbines/771-gamesa-g44,,Gamesa,No,No,Yes
nacelle,0.66,47,40,20400,,Gamesa G47,https://en.wind-turbine-models.com/turbines/772-gamesa-g47,,Gamesa,No,No,Yes
nacelle,0.85,52,44,23000,,Gamesa G52,https://en.wind-turbine-models.com/turbines/45-gamesa-g52,,Gamesa,No,No,Yes
nacelle,2,80,60,70000,,Gamesa G80,https://en.wind-turbine-models.com/turbines/34-gamesa-g80,,Gamesa,No,No,Yes
nacelle,2,87,67,107000,,Gamesa G87,https://en.wind-turbine-models.com/turbines/548-gamesa-g87,,Gamesa,No,No,Yes
nacelle,2,90,67,70000,,Gamesa G90,https://en.wind-turbine-models.com/turbines/763-gamesa-g90,,Gamesa,No,No,Yes
nacelle,1,57,60,40000,,GC China GC57,https://en.wind-turbine-models.com/turbines/2034-gc-china-gc57,,GC China,No,No,Yes
nacelle,1.6,100,80,65000,,GE Vernova GE 1.6 - 100,https://en.wind-turbine-models.com/turbines/370-ge-vernova-ge-1-6-100,,GE Vernova,No,No,Yes
nacelle,0.095,24.4,37,6900,,WEG AGW 100,https://en.wind-turbine-models.com/turbines/1698-weg-agw-100,,WEG,No,No,Yes
nacelle,1.5,77.1,61.4,59000,,HEAG HW2/S1500(77),https://en.wind-turbine-models.com/turbines/1440-heag-hw2-s1500-77,,HEAG,No,No,Yes
nacelle,2.5,100,85,90000,,Kenersys K100 2.5MW,https://en.wind-turbine-models.com/turbines/760-kenersys-k100-2-5mw,,Kenersys,No,No,Yes
nacelle,1.5,77,60,70000,,M.Torres TWT 1.5-77,https://en.wind-turbine-models.com/turbines/809-m-torres-twt-1-5-77,,M.Torres,No,No,Yes
nacelle,0.065,16,25,5700,,Micon M 65/13/US,https://en.wind-turbine-models.com/turbines/606-micon-m-65-13-us,,Micon,No,No,Yes
nacelle,0.108,18.9,23.8,6200,,Micon 108,https://en.wind-turbine-models.com/turbines/562-micon-108,,Micon,No,No,Yes
nacelle,0.225,29.8,30,8000,,Micon M 700-225,https://en.wind-turbine-models.com/turbines/377-micon-m-700-225,,Micon,No,No,Yes
nacelle,0.6,37,45,21000,,Micon M 1100-600,https://en.wind-turbine-models.com/turbines/1302-micon-m-1100-600,,Micon,No,No,Yes
nacelle,3,112,85,83000,,MingYang MySE3.0-112,https://en.wind-turbine-models.com/turbines/1914-mingyang-myse3-0-112,,MingYang,No,No,Yes
nacelle,1,61.4,50,75000,,Mitsubishi MWT-62/1000A,https://en.wind-turbine-models.com/turbines/589-mitsubishi-mwt-62-1000a,,Mitsubishi,No,No,Yes
nacelle,1,57,60,75000,,Mitsubishi MWT-57/1000,https://en.wind-turbine-models.com/turbines/608-mitsubishi-mwt-57-1000,,Mitsubishi,No,No,Yes
nacelle,0.5,40.8,39,38500,,NedWind NW 40/500,https://en.wind-turbine-models.com/turbines/1090-nedwind-nw-40-500,,NedWind,No,No,Yes
nacelle,0.6,48,46,23000,,NEG Micon NM 48/600,https://en.wind-turbine-models.com/turbines/1173-neg-micon-nm-48-600,,NEG Micon,No,No,Yes
nacelle,0.75,48.2,50,22000,,NEG Micon NM 48/750,https://en.wind-turbine-models.com/turbines/311-neg-micon-nm-48-750,,NEG Micon,No,No,Yes
nacelle,0.9,52.2,60,24500,,NEG Micon NM 52/900,https://en.wind-turbine-models.com/turbines/43-neg-micon-nm-52-900,,NEG Micon,No,No,Yes
nacelle,1.5,72,64,44000,,NEG Micon NM 72c/1500,https://en.wind-turbine-models.com/turbines/151-neg-micon-nm-72c-1500,,NEG Micon,No,No,Yes
nacelle,1.65,72,70,51000,,NEG Micon NM 72/1650,https://en.wind-turbine-models.com/turbines/1300-neg-micon-nm-72-1650,,NEG Micon,No,No,Yes
nacelle,0.6,43,40,24000,,Nordex N43,https://en.wind-turbine-models.com/turbines/390-nordex-n43,,Nordex,No,No,Yes
nacelle,0.8,52,60,57000,,Nordex N52,https://en.wind-turbine-models.com/turbines/387-nordex-n52,,Nordex,No,No,Yes
nacelle,1,54,60,56000,,Nordex N54,https://en.wind-turbine-models.com/turbines/397-nordex-n54,,Nordex,No,No,Yes
nacelle,1.3,60,60,51400,,Nordex N60,https://en.wind-turbine-models.com/turbines/77-nordex-n60,,Nordex,No,No,Yes
nacelle,1.5,77,62,56000,,Nordex N77,https://en.wind-turbine-models.com/turbines/76-nordex-n77,,Nordex,No,No,Yes
nacelle,2.3,90,80,95000,,Nordex N90 Beta,https://en.wind-turbine-models.com/turbines/21-nordex-n90-beta,,Nordex,No,No,Yes
nacelle,4.5,149.1,105,140700,,Nordex N149/4.0-4.5,https://en.wind-turbine-models.com/turbines/1705-nordex-n149-4-0-4-5,,Nordex,No,No,Yes
nacelle,0.065,16.5,24,5700,,Nordtank NTK 65,https://en.wind-turbine-models.com/turbines/564-nordtank-ntk-65,,Nordtank,No,No,Yes
nacelle,0.5,41,42.1,16800,,Nordtank NTK 500/41,https://en.wind-turbine-models.com/turbines/384-nordtank-ntk-500-41,,Nordtank,No,No,Yes
nacelle,0.1,20.7,29,6500,,NPS Northern Power NPS 100C-21,https://en.wind-turbine-models.com/turbines/1269-nps-northern-power-nps-100c-21,,NPS Northern Power,No,No,Yes
nacelle,0.225,29.1,30,7600,,Norwin 29 STALL 225,https://en.wind-turbine-models.com/turbines/226-norwin-29-stall-225,,Norwin,No,No,Yes
nacelle,2.5,100,75,72000,,"NovaWind L100-2,5 MW",https://en.wind-turbine-models.com/turbines/1968-novawind-l100-2-5-mw,,NovaWind,No,No,Yes
nacelle,0.9,56,59,30000,,PowerWind PW56,https://en.wind-turbine-models.com/turbines/10-powerwind-pw56,,PowerWind,No,No,Yes
nacelle,0.6,48.4,50,25000,,REpower 48/600,https://en.wind-turbine-models.com/turbines/703-repower-48-600,,REpower,No,No,Yes
nacelle,2,87,70,68000,,SANY SE8720,https://en.wind-turbine-models.com/turbines/2038-sany-se8720,,SANY,No,No,Yes
nacelle,2,93,70,68000,,SANY SE9320,https://en.wind-turbine-models.com/turbines/2086-sany-se9320,,SANY,No,No,Yes
nacelle,2,102,80,79000,,SANY SE10020,https://en.wind-turbine-models.com/turbines/2087-sany-se10020,,SANY,No,No,Yes
nacelle,2,103,80,68000,,SANY SE10520,https://en.wind-turbine-models.com/turbines/2088-sany-se10520,,SANY,No,No,Yes
nacelle,0.05,15,30,2000,,Seaforth Energy AOC15/50,https://en.wind-turbine-models.com/turbines/513-seaforth-energy-aoc15-50,,Seaforth Energy,No,No,Yes
